wro4j(12),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0
4,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0
5,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0
6,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333
7,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,0.25,0.0,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25
9,0.25,0.0,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.25,0.16666666666666666,0.25,0.25,0.16666666666666666,0.25
10,0.25,0.0,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.25,0.16666666666666666,0.25,0.25,0.16666666666666666,0.25
11,0.25,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.25,0.25,0.25,0.25,0.16666666666666666,0.25
12,0.25,0.0,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,0.25
13,0.25,0.0,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.25,0.25,0.3333333333333333,0.25,0.3333333333333333,0.25
14,0.5,0.0,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.25,0.25,0.4166666666666667,0.25,0.3333333333333333,0.3333333333333333
15,0.5,0.0,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.25,0.25,0.4166666666666667,0.25,0.3333333333333333,0.3333333333333333
16,0.5,0.0,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.25,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.4166666666666667
17,0.5,0.0,0.5833333333333334,0.25,0.25,0.3333333333333333,0.25,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.5
18,0.5,0.0,0.5833333333333334,0.25,0.25,0.3333333333333333,0.25,0.5,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5833333333333334
19,0.5,0.0,0.5833333333333334,0.25,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4166666666666667,0.4166666666666667,0.5,0.6666666666666666
20,0.5,0.0,0.5833333333333334,0.25,0.25,0.3333333333333333,0.4166666666666667,0.5,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.6666666666666666
21,0.6666666666666666,0.0,0.5833333333333334,0.25,0.25,0.4166666666666667,0.4166666666666667,0.5,0.4166666666666667,0.4166666666666667,0.6666666666666666,0.75
22,0.6666666666666666,0.0,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.5,0.4166666666666667,0.5,0.75,0.75
23,0.6666666666666666,0.0,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.8333333333333334,0.8333333333333334
24,0.6666666666666666,0.0,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6666666666666666,0.5833333333333334,0.5,0.6666666666666666,0.9166666666666666,0.9166666666666666
25,0.6666666666666666,0.0,0.5833333333333334,0.5,0.5,0.4166666666666667,0.6666666666666666,0.5833333333333334,0.5,0.75,0.9166666666666666,0.9166666666666666
26,0.6666666666666666,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.5,0.75,0.9166666666666666,1.0
27,0.6666666666666666,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.75,0.6666666666666666,0.5,0.8333333333333334,1.0,1.0
28,0.6666666666666666,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.75,0.75,0.5,0.9166666666666666,1.0,1.0
29,0.6666666666666666,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.75,0.75,0.5833333333333334,1.0,1.0,1.0
30,0.6666666666666666,0.0,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.75,0.5833333333333334,1.0,1.0,1.0
