neuroph(24),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.0833333358168602,0.0,0.0833333358168602,0.0416666679084301,0.0416666679084301,0.0416666679084301,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0416666679084301,0.0833333358168602
2%=0.02,0.125,0.0,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.1666666716337204,0.125,0.125,0.125,0.125,0.1666666716337204
3%=0.03,0.1666666716337204,0.0,0.125,0.125,0.125,0.125,0.2083333283662796,0.1666666716337204,0.1666666716337204,0.125,0.1666666716337204,0.1666666716337204
4%=0.04,0.2083333283662796,0.0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.125,0.2916666567325592,0.25,0.2083333283662796,0.2083333283662796,0.2083333283662796,0.2083333283662796
5%=0.05,0.25,0.0,0.25,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.2916666567325592,0.3333333432674408,0.2916666567325592,0.2916666567325592,0.2916666567325592,0.2916666567325592
6%=0.06,0.2916666567325592,0.0,0.25,0.25,0.25,0.1666666716337204,0.2916666567325592,0.375,0.375,0.3333333432674408,0.2916666567325592,0.375
7%=0.07,0.2916666567325592,0.0,0.25,0.25,0.25,0.1666666716337204,0.3333333432674408,0.375,0.4166666567325592,0.375,0.3333333432674408,0.375
8%=0.08,0.3333333432674408,0.0,0.25,0.2916666567325592,0.2916666567325592,0.1666666716337204,0.375,0.375,0.4166666567325592,0.4166666567325592,0.375,0.4166666567325592
9%=0.09,0.3333333432674408,0.0,0.2916666567325592,0.375,0.375,0.25,0.375,0.4583333432674408,0.5,0.4166666567325592,0.375,0.4583333432674408
10%=0.1,0.375,0.0,0.2916666567325592,0.375,0.375,0.25,0.375,0.5,0.5,0.4583333432674408,0.4166666567325592,0.5
11%=0.11,0.4166666567325592,0.0,0.3333333432674408,0.375,0.375,0.2916666567325592,0.375,0.5,0.5,0.5,0.4166666567325592,0.5
12%=0.12,0.4166666567325592,0.0,0.375,0.375,0.375,0.2916666567325592,0.4583333432674408,0.5,0.5,0.5,0.4166666567325592,0.5416666865348816
13%=0.13,0.4583333432674408,0.0416666679084301,0.4583333432674408,0.375,0.375,0.2916666567325592,0.5,0.5416666865348816,0.5,0.5,0.4583333432674408,0.5416666865348816
14%=0.14,0.5,0.0416666679084301,0.5,0.375,0.375,0.2916666567325592,0.5,0.5416666865348816,0.5416666865348816,0.5,0.5,0.5416666865348816
15%=0.15,0.5,0.0416666679084301,0.5,0.375,0.375,0.2916666567325592,0.5,0.5416666865348816,0.5416666865348816,0.5,0.5416666865348816,0.5416666865348816
