gwtportlets(27),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1%=0.01,0.037037037037037,0.037037037037037,0.037037037037037
1%=0.02,0.074074074074074,0.074074074074074,0.074074074074074
3%=0.03,0.074074074074074,0.074074074074074,0.1111111111111111
3%=0.04,0.1481481481481481,0.1481481481481481,0.1481481481481481
5%=0.05,0.1851851851851851,0.1851851851851851,0.1851851851851851
5%=0.06,0.2222222222222222,0.2222222222222222,0.2222222222222222
6%=0.07,0.2592592592592592,0.2222222222222222,0.2592592592592592
7%=0.08,0.2962962962962963,0.2592592592592592,0.2962962962962963
8%=0.09,0.3333333333333333,0.2962962962962963,0.3333333333333333
9%=0.10,0.4074074074074074,0.2962962962962963,0.4074074074074074
10%=0.11,0.4074074074074074,0.3333333333333333,0.4074074074074074
11%=0.12,0.4074074074074074,0.3703703703703703,0.4074074074074074
12%=0.13,0.4074074074074074,0.4074074074074074,0.4074074074074074
13%=0.14,0.4074074074074074,0.4444444444444444,0.4074074074074074
15%=0.15,0.4444444444444444,0.4444444444444444,0.4444444444444444
