tomcat(28),TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
1%=0.01,0.1428571492433548,0.1785714328289032,0.1785714328289032
2%=0.02,0.2857142984867096,0.2857142984867096,0.2857142984867096
3%=0.03,0.3214285671710968,0.3928571343421936,0.4642857015132904
4%=0.04,0.4285714328289032,0.5357142686843872,0.6071428656578064
5%=0.05,0.5714285969734192,0.6071428656578064,0.6428571343421936
6%=0.06,0.5714285969734192,0.6428571343421936,0.6785714030265808
7%=0.07,0.6428571343421936,0.6785714030265808,0.7142857313156128
8%=0.08,0.6785714030265808,0.7142857313156128,0.75
9%=0.09,0.6785714030265808,0.75,0.8214285969734192
10%=0.1,0.7142857313156128,0.8214285969734192,0.8571428656578064
11%=0.11,0.75,0.8571428656578064,0.8928571343421936
12%=0.12,0.8214285969734192,0.8928571343421936,0.8928571343421936
13%=0.13,0.8214285969734192,0.9285714030265808,0.8928571343421936
14%=0.14,0.8571428656578064,0.9285714030265808,0.8928571343421936
15%=0.15,0.8928571343421936,0.9285714030265808,0.8928571343421936
