,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.1504856,0,0.119856129,0.142277618,0.142277618,0.146475533,0.158241098,0.124741028,0.13344914,0.14546413,0.150737732,0.163237732
2%=0.02,0.228530793,0.003559115,0.195341643,0.207065826,0.207065826,0.19294838,0.242266214,0.233684801,0.216334712,0.226722952,0.246257942,0.257641379
3%=0.03,0.284466198,0.006562117,0.259757352,0.27983649,0.27983649,0.281812616,0.293914667,0.299428333,0.278442956,0.297431868,0.329655641,0.342995661
4%=0.04,0.343389781,0.008619731,0.331840034,0.346502812,0.346502812,0.341385238,0.342053184,0.3450684,0.321512861,0.375743892,0.377287103,0.416046
5%=0.05,0.398198218,0.013124235,0.371140603,0.378640677,0.378640677,0.389665763,0.364853238,0.379190396,0.357100451,0.410061942,0.438814381,0.471125828
6%=0.06,0.429142903,0.019686353,0.394190595,0.421429081,0.421429081,0.431609079,0.40681892,0.420538791,0.400594215,0.451172476,0.477364883,0.519506425
7%=0.07,0.45402498,0.024746969,0.419435033,0.438173873,0.438173873,0.474838072,0.456214058,0.43880746,0.41555372,0.476894575,0.499456765,0.535501741
8%=0.08,0.504267138,0.033623903,0.466732776,0.479749753,0.479749753,0.504976893,0.486105529,0.468588701,0.444967958,0.512500561,0.544398632,0.558955902
9%=0.09,0.533088071,0.039240629,0.49228357,0.510004016,0.510004016,0.537445554,0.520626627,0.496464375,0.465159255,0.518599914,0.562378077,0.595891989
10%=0.1,0.554107054,0.041298243,0.510179392,0.532250215,0.532250215,0.55714913,0.536377078,0.504878541,0.475319686,0.543156371,0.592955333,0.614251199
11%=0.11,0.57308776,0.047250624,0.546483501,0.561624358,0.561624358,0.583919373,0.539666552,0.535600835,0.50590928,0.572704818,0.603962786,0.630755844
12%=0.12,0.607180362,0.051755129,0.583762698,0.571441763,0.571441763,0.613617176,0.551909349,0.549808073,0.51399276,0.603313751,0.639392406,0.644174077
13%=0.13,0.629994794,0.064116013,0.61338691,0.585759231,0.585759231,0.623755239,0.568999955,0.561768916,0.520924868,0.619592873,0.645315046,0.654150794
14%=0.14,0.647743636,0.069103141,0.624705716,0.605551424,0.605551424,0.640921266,0.59072754,0.561768916,0.544073017,0.644028964,0.65395161,0.668884854
15%=0.15,0.662295834,0.0790774,0.632325911,0.625211013,0.625211013,0.655436722,0.594700863,0.576544707,0.550098886,0.649951603,0.665344007,0.676708103
average,0.466666875,0.033450907,0.437428124,0.44570121,0.44570121,0.465063736,0.443564991,0.433125485,0.409562251,0.469822713,0.49515149,0.516655169
