tomcat(28),BiMo-M,BiMo-B,BiMo
1%=0.01,0.2142857164144516,0.25,0.25
2%=0.02,0.2857142984867096,0.2857142984867096,0.2857142984867096
3%=0.03,0.3571428656578064,0.4642857015132904,0.4642857015132904
4%=0.04,0.4642857015132904,0.5714285969734192,0.6071428656578064
5%=0.05,0.5714285969734192,0.6428571343421936,0.6785714030265808
6%=0.06,0.6428571343421936,0.7142857313156128,0.75
7%=0.07,0.6785714030265808,0.75,0.7857142686843872
8%=0.08,0.7142857313156128,0.8214285969734192,0.8571428656578064
9%=0.09,0.75,0.8571428656578064,0.8928571343421936
10%=0.1,0.8214285969734192,0.8928571343421936,0.8928571343421936
11%=0.11,0.8571428656578064,0.9285714030265808,0.8928571343421936
12%=0.12,0.8571428656578064,0.9285714030265808,0.8928571343421936
13%=0.13,0.8928571343421936,0.9285714030265808,0.8928571343421936
14%=0.14,0.8928571343421936,0.9285714030265808,0.8928571343421936
15%=0.15,0.9285714030265808,0.9285714030265808,0.9285714030265808
